Date	Name	Duration					
29.04.2016	Android: Netrunner	0.4	online	Geist	Blue Sun	lose	score
29.04.2016	Android: Netrunner	0.4	online	Geist	RP	win	legwork
29.04.2016	Dvonn	0.3					
30.04.2016	Valley of the Kings: Afterlife	0.7	solo				
30.04.2016	Scoville	1.5					
01.05.2016	Onitama	0.5					
02.05.2016	Android: Netrunner	0.5	online	Geist	IG	win	ragequit (Councilman -> Ronin)
02.05.2016	Android: Netrunner	0.1	online	Sync - Here kitty kitty!	Andromeda	win	flooded
02.05.2016	Android: Netrunner	0.4	online	Whizzard	Gagarin	win	medium
02.05.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Whizzard	win	score
02.05.2016	Android: Netrunner	0.3	online	Sync - Here kitty kitty!	Leela	win	BN -> gang sign -> kitty
03.05.2016	Android: Netrunner	0.6	online	Whizzard	HB	win	medium
03.05.2016	Android: Netrunner	0.5	online	Whizzard	Weyland - BaBW	win	medium
04.05.2016	Android: Netrunner	0.5	online	Sync - Here kitty kitty!	Kate	lose	clot
04.05.2016	Android: Netrunner	0.4	online	Hello, I'm Jeeves! How may I serve you?	Apex	win	score
04.05.2016	Android: Netrunner	0.4	online	Whizzard	Haarpsichord	lose	scorched
04.05.2016	Android: Mainframe	0.5					
05.05.2016	Android: Mainframe	0.5					
05.05.2016	Android: Netrunner	0.4	online	Hello, I'm Jeeves! How may I serve you?	Jesminder	win	concede (didn't understand Clot vs CVS)
05.05.2016	Android: Netrunner	0.1	online	Hello, I'm Jeeves! How may I serve you?	Sil	lose	ABT fail
05.05.2016	Android: Netrunner	0.5	online	Hello, I'm Jeeves! How may I serve you?	Ken	lose	
05.05.2016	Android: Netrunner	0.5	online	Hello, I'm Jeeves! How may I serve you?	Whizzard	win	score
05.05.2016	Android: Netrunner	0.6	online	Hello, I'm Jeeves! How may I serve you?	Whizzard	win	score
06.05.2016	Android: Netrunner	0.6	online	Hello, I'm Jeeves! How may I serve you?	Hayley	win	score
06.05.2016	Android: Netrunner	0.1	online	Hello, I'm Jeeves! How may I serve you?	Leela	lose	nerve agent, demo run
06.05.2016	Android: Netrunner	0.1	online	Hello, I'm Jeeves! How may I serve you?	Leela	lose	nerve agent, demo run
06.05.2016	Android: Netrunner	0.3	online	Hello, I'm Jeeves! How may I serve you?	Leela	win	biotic, almost fail because GFI miscount
06.05.2016	Android: Netrunner	0.5	online	Hello, I'm Jeeves! How may I serve you?	Sunny	win	GFI from hand
06.05.2016	Android: Netrunner	0.4	online	Hello, I'm Jeeves! How may I serve you?	Gabe	draw	Indexing bugged
07.05.2016	Android: Netrunner	0.5	online	Hello, I'm Jeeves! How may I serve you?	Maxx	win	Swordsman
07.05.2016	Android: Netrunner	0.5	online	Hello, I'm Jeeves! How may I serve you?	Valencia	win	GFI from hand
08.05.2016	Android: Netrunner	0.5	online	Hello, I'm Jeeves! How may I serve you?	Kate	win	score
