Date	Name	Duration				
23.10.2017	Tavarua	0.6	Championship - January - win			
24.10.2017	Tavarua	0.6	Championship - February - lose			
26.10.2017	7th Continent	2.5	Voracious Goddess - play 1 - part 1			
28.10.2017	7th Continent	2	Voracious Goddess - play 1 - part 2			
29.10.2017	7th Continent	3	Voracious Goddess - play 1 - part 3			
31.10.2017	7th Continent	3.5	Voracious Goddess - play 1 - part 4			
02.11.2017	Mint Works	0.2	Sonic: 4 - 7 lose			
02.11.2017	Mint Works	0.2	Sonic: 8 - 4 win			
02.11.2017	Mint Works	0.2	Mort: 7 - 9 lose			
02.11.2017	Mint Works	0.2	Mort: 9 - 6 win			
03.11.2017	Tiny Epic Quest	1	26 pts			
06.11.2017	7th Continent	3.5	Voracious Goddess - play 1 - part 5 - finale			
08.11.2017	Rallyman	0.5	November challenge			
09.11.2017	Terraforming Mars	0.8	Interplanetary Cinematics - lose (2 oxygen, 3 ocean short)			
09.11.2017	Terraforming Mars	0.8	Saturn Systems - win - 75 pts			
17.11.2017	Merchants & Marauders	4	22 rounds, 22 points			
22.11.2017	Triplock	0.3	Station - Room 1 - win			
22.11.2017	Triplock	0.2	Station - Room 2 - win			
22.11.2017	Triplock	0.2	Station - Room 3 - win			
22.11.2017	Triplock	0.3	Station - Room 4 - win			
03.12.2017	Imperial Assault	1.5	App - Tutorial - win			
04.12.2017	Charterstone	1.5	Game 1 - 3rd			
04.12.2017	Charterstone	0.8	Game 2 - 1st			
05.12.2017	Charterstone	1.5	Game 3 - 2nd			
06.12.2017	Charterstone	1	Game 4 - 1st (tie)			
06.12.2017	Charterstone	1	Game 5 - 1st			
06.12.2017	Charterstone	1	Game 6 - 2nd			
06.12.2017	Charterstone	1	Game 7 - 1st (tie)			
06.12.2017	Charterstone	1	Game 8 - 1st			
06.12.2017	Charterstone	1	Game 9 - 1st			
06.12.2017	Charterstone	1	Game 10 - 3rd			
06.12.2017	Imperial Assault	2	App - Campaign 1 - Mission 1			
07.12.2017	Charterstone	1	Game 11 - 3rd			
07.12.2017	Charterstone	1.2	Game 12 - 1st			
16.12.2017	Imperial Assault	2.5	App - Campaign 1 - Mission 2			
18.12.2017	Imperial Assault	2	App - Campaign 1 - Mission 3			
25.12.2017	Spirit Island	2	First spirit with progression - win			
25.12.2017	Crokinole	0.6	Mad 0 - Brown 3			
26.12.2017	Crokinole	0.2	Mad 0 - Brown 1			
26.12.2017	Crokinole	0.2	Mad 1 - Pa 0			
26.12.2017	Crokinole	0.2	Happy 1 - Pa 0			
26.12.2017	Crokinole	0.2	Brown 1 - Pa 0			
26.12.2017	Crokinole	0.2	Mad 0 - Brown 1			
27.12.2017	Hoplomachus Origins	0.25	Trial 1 - win			
28.12.2017	Hoplomachus Origins	0.25	Trial 2 - lose			
28.12.2017	Hoplomachus Origins	0.25	Trial 2 - win			
28.12.2017	Hoplomachus Origins	0.25	Trial 3 - lose			
28.12.2017	Hoplomachus Origins	0.25	Trial 3 - win			
28.12.2017	Hoplomachus Origins	0.25	Trial 4 - win			
28.12.2017	Hoplomachus Origins	0.25	Trial 5 - win			
28.12.2017	Hoplomachus Origins	0.25	Trial 6 - win			
28.12.2017	Oh my Goods	0.7	Lonsdale 1 - lose (22 pts - 46 food)			
29.12.2017	Oh my Goods	0.3	Lonsdale 1 - lose (18 pts - 28 food)			
29.12.2017	Oh my Goods	0.3	Lonsdale 1 - lose (24 pts - 44 food)			
29.12.2017	Gem Rush	0.5	39 pts			
30.12.2017	Flatline	0.5	Training - win			
31.12.2017	Nusfjord	0.7	34 pts (forest heavy)			
